Strategy,Total Time (s),Total Time (min),Pit Stops,Avg Lap (s),Compounds,Delta (s)
1-stop MEDIUM→HARD (late),5090.930291958282,84.84883819930471,1,87.77466020617729,MEDIUM → HARD,0.0
1-stop MEDIUM→HARD (early),5095.60898726516,84.92681645441934,1,87.8553273666407,MEDIUM → HARD,4.678695306877671
1-stop SOFT→HARD,5123.790352281728,85.39650587136212,1,88.34121297037461,SOFT → HARD,32.860060323445396
2-stops MEDIUM→MEDIUM→HARD,5161.9174963371715,86.03195827228619,2,88.99857752305468,MEDIUM → MEDIUM → HARD,70.98720437888915
2-stops SOFT→MEDIUM→HARD,5187.024375542145,86.45040625903576,2,89.43145475072664,SOFT → MEDIUM → HARD,96.09408358386281
